"~id","~labels","headquarters","code","name","founded","role","market","symbol"
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","Company","杭州","BABA","阿里巴巴集团","1999年",,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1","Industry",,,"互联网",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:2","Industry",,,"电子商务",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:3","Person",,,"马云",,"创始人",,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:4","Person",,,"张勇",,"董事会主席",,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:5","Stock",,,,,,"NYSE","BABA.US"
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:6","Location",,,"中国杭州",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:7","Company",,,"蚂蚁集团",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:8","Company",,,"菜鸟网络",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:9","Company",,,"浙江吉利控股集团",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:10","Company",,,"DeepSeek",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:11","Company",,,"宇树科技",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:12","Company",,,"拼多多",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:13","Company",,,"京东",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:14","Company",,,"美团",,,,
"4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:15","Company",,,"字节跳动",,,,